,numVotes
2410,1305
2411,9845
2412,12016
2413,746
2414,63
2415,89
2416,934
2417,69
2418,80
2419,44
2420,353
2421,101
2422,527
2423,1157
2424,42
2425,41
2426,70
2427,18
2428,25
2429,1565
2430,270
2431,64
2432,181
2433,87
2434,8
2435,228
2436,49
2437,37
2438,1374
2439,202
2440,41
2441,48
2442,3814
2443,254
2444,17
2445,894
2446,5429
2447,3892
2448,3250
2449,464
2450,90
2451,23
2452,15
2453,37
2454,263
2455,1095
2456,452
2457,41
2458,422
2459,23
2460,14
2461,12
2462,641
2463,48
2464,714
2465,25
2466,26
2467,889
2468,206
2469,80
2470,8
2471,32
2472,640
2473,31
2474,9
2475,77
2476,19
2477,17
2478,9013
2479,73424
2480,2399
2481,22013
2482,92
2483,8762
2484,9
2485,4176
2486,16
2487,34
2488,30
2489,5724
2490,47
2491,62
2492,99
2493,589
2494,640
2495,483
2496,19596
2497,332
2498,9
2499,223
2500,246
2501,842
2502,105
2503,379
2504,4707
2505,1263
2506,26
2507,86
2508,150
2509,2891
2510,46
2511,41
2512,249
2513,23
2514,58
2515,592
2516,120
2517,430
2518,21
2519,673
2520,57
2521,113
2522,14
2523,348
2524,17
2525,181
2526,798
2527,2864
2528,45
2529,77
2530,30
2531,172
2532,113
2533,152
2534,692
2535,1087
2536,7
2537,364
2538,8
2539,183
2540,11
2541,42
2542,49
2543,32125
2544,1548
2545,22850
2546,12
2547,2062
2548,432
2549,42
2550,11
2551,24
2552,491
2553,933
2554,36
2555,70
2556,22
2557,82
2558,977
2559,3114
2560,17
2561,45
2562,42
2563,1207
2564,82
2565,43
2566,69
2567,111
2568,11
2569,83
2570,59
2571,3013
2572,15
2573,149
2574,453764
2575,473
2576,25
2577,57
2578,314201
2579,36
2580,21
2581,29
2582,8
2583,15
2584,73
2585,144
2586,92
2587,14
2588,37
2589,9
2590,8
2591,46
2592,546
2593,24
2594,135
2595,59
2596,3559
2597,10085
2598,9
2599,262
2600,123
2601,58
2602,231
2603,357
2604,370
2605,63
2606,334
2607,435
2608,19
2609,23
2610,44
2611,6504
2612,440
2613,157
2614,446
2615,20
2616,59
2617,407
2618,81
2619,111
2620,9
2621,22
2622,22
2623,73
2624,95
2625,88
2626,7
2627,9
2628,62
2629,24
2630,17
2631,26
2632,13
2633,163
2634,31
2635,4535
2636,136
2637,75
2638,574
2639,11391
2640,71
2641,122
2642,482
2643,9
2644,46679
2645,382
2646,576
2647,27
2648,244
2649,138
2650,40483
2651,45
2652,23
2653,21
2654,213906
2655,4054
2656,321763
2657,25
2658,163
2659,5438
2660,434
2661,75000
2662,654
2663,60
2664,30
2665,829
2666,11201
2667,52
2668,18098
2669,200
2670,47
2671,160
2672,7
2673,69
2674,1704
2675,865
2676,150
2677,7437
2678,138
2679,16
2680,56
2681,162
2682,304
2683,1119
2684,487
2685,20
2686,153
2687,366
2688,354
2689,25
2690,24
2691,754
2692,2843
2693,17
2694,65
2695,344
2696,54
2697,171
2698,235
2699,549
2700,2141
2701,64
2702,272
2703,192
2704,1803
2705,15497
2706,375
2707,37
2708,247
2709,144601
2710,20
2711,30892
2712,38
2713,10
2714,11
2715,223
2716,16
2717,11
2718,4569
2719,101889
2720,233357
2721,64
2722,720
2723,35
2724,267
2725,142
2726,5816
2727,19
2728,4226
2729,70
2730,48546
2731,486
2732,15
2733,139
2734,1228
2735,43082
2736,792
2737,72
2738,118
2739,72
2740,20
2741,192
2742,98601
2743,148
2744,17
2745,14925
2746,22614
2747,18
2748,1927
2749,2595
2750,585
2751,217
2752,757
2753,5320
2754,484
2755,179
2756,65
2757,61029
2758,34
2759,8
2760,562
2761,641
2762,25
2763,158
2764,1118
2765,12016
2766,157
2767,9
2768,45280
2769,1260
2770,3166
2771,23
2772,14
2773,89
2774,141
2775,115
2776,3692
2777,307
2778,504
2779,9
2780,5540
2781,1082
2782,8020
2783,57
2784,1085
2785,399
2786,1101
2787,33
2788,18610
2789,28
2790,318
2791,26
2792,44
2793,8220
2794,5893
2795,24463
2796,130
2797,554
2798,14
2799,5876
2800,79
2801,190
2802,158
2803,1417
2804,69
2805,2144
2806,3559
2807,32584
2808,930
2809,554
2810,25
2811,59110
2812,13
2813,21815
2814,29
2815,6
2816,481
2817,4329
2818,41
2819,7895
2820,903
2821,172
2822,29
2823,3144
2824,43
2825,160
2826,13
2827,51
2828,391
2829,108
2830,128246
2831,90
2832,637
2833,13611
2834,115
2835,17
2836,425
2837,102
2838,1210
2839,255
2840,409
2841,63
2842,38
2843,57
2844,123
2845,21
2846,40
2847,349
2848,215
